"latitude","longitude","flat_type","flat_model","resale_price"
"1.286814","103.828928","5 ROOM","Improved","1588000"
"1.287989","103.821947","5 ROOM","Improved","1588000"
"1.336278","103.844045","5 ROOM","DBSS","1568888"
"1.336264","103.844907","5 ROOM","DBSS","1540000"
"1.277449","103.841667","5 ROOM","Type S2","1515000"
"1.356735","103.843520","5 ROOM","DBSS","1500000"
"1.358438","103.843886","EXECUTIVE","Maisonette","1500000"
"1.284080","103.830526","4 ROOM","Adjoined flat","1500000"
"1.276920","103.841486","5 ROOM","Type S2","1480000"
"1.358438","103.843886","EXECUTIVE","Maisonette","1480000"
"1.358222","103.831933","EXECUTIVE","Maisonette","1480000"
"1.336711","103.843878","5 ROOM","DBSS","1460000"
"1.287406","103.822053","5 ROOM","Improved","1460000"
"1.356073","103.843470","5 ROOM","DBSS","1458000"
"1.357426","103.843541","EXECUTIVE","Maisonette","1450000"
"1.287989","103.821947","5 ROOM","Improved","1450000"
"1.287989","103.821947","5 ROOM","Improved","1450000"
"1.277843","103.840966","5 ROOM","Type S2","1450000"
"1.286827","103.828660","5 ROOM","Improved","1450000"
"1.277449","103.841667","4 ROOM","Type S1","1450000"
"1.360830","103.845473","EXECUTIVE","Apartment","1448000"
"1.277449","103.841667","5 ROOM","Type S2","1438888"
"1.336711","103.843878","5 ROOM","DBSS","1438000"
"1.356073","103.843470","5 ROOM","DBSS","1430000"
"1.287406","103.822053","5 ROOM","Improved","1430000"
"1.277449","103.841667","5 ROOM","Type S2","1425000"
"1.336711","103.843878","5 ROOM","DBSS","1420000"
"1.277799","103.841403","5 ROOM","Type S2","1420000"
"1.295121","103.811150","5 ROOM","Premium Apartment Loft","1418000"
"1.277449","103.841667","4 ROOM","Type S1","1410888"
"1.277799","103.841403","4 ROOM","Type S1","1410000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1410000"
"1.286814","103.828928","5 ROOM","Improved","1400000"
"1.359045","103.829899","EXECUTIVE","Maisonette","1400000"
"1.275987","103.841192","5 ROOM","Type S2","1400000"
"1.336278","103.844045","5 ROOM","DBSS","1400000"
"1.287989","103.821947","5 ROOM","Improved","1400000"
"1.275532","103.841275","5 ROOM","Type S2","1400000"
"1.277449","103.841667","4 ROOM","Type S1","1400000"
"1.275532","103.841275","5 ROOM","Type S2","1400000"
"1.356366","103.843934","5 ROOM","DBSS","1400000"
"1.277843","103.840966","4 ROOM","Type S1","1393939"
"1.356366","103.843934","5 ROOM","DBSS","1390000"
"1.275987","103.841192","5 ROOM","Type S2","1388889"
"1.336711","103.845473","5 ROOM","DBSS","1385000"
"1.287989","103.821947","5 ROOM","Improved","1380000"
"1.276622","103.841156","5 ROOM","Type S2","1380000"
"1.336264","103.844907","5 ROOM","DBSS","1380000"
"1.345143","103.847991","EXECUTIVE","Maisonette","1380000"
"1.302113","103.909481","5 ROOM","Adjoined flat","1380000"
"1.336264","103.844907","5 ROOM","DBSS","1378888"
"1.276622","103.841156","5 ROOM","Type S2","1378888"
"1.287989","103.821947","5 ROOM","Improved","1375000"
"1.277843","103.840966","4 ROOM","Type S1","1370000"
"1.276920","103.841486","4 ROOM","Type S1","1370000"
"1.336711","103.845473","5 ROOM","DBSS","1370000"
"1.275532","103.841275","4 ROOM","Type S1","1365000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1360000"
"1.356073","103.843470","5 ROOM","DBSS","1360000"
"1.358442","103.848264","EXECUTIVE","Apartment","1350000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1350000"
"1.275532","103.841275","4 ROOM","Type S1","1350000"
"1.336711","103.845473","5 ROOM","DBSS","1350000"
"1.276622","103.841156","5 ROOM","Type S2","1348888"
"1.336264","103.844907","5 ROOM","DBSS","1345000"
"1.277799","103.841403","5 ROOM","Type S2","1340000"
"1.276622","103.841156","5 ROOM","Type S2","1340000"
"1.356366","103.843934","5 ROOM","DBSS","1338888"
"1.277449","103.841667","5 ROOM","Type S2","1338000"
"1.336264","103.845626","5 ROOM","DBSS","1335000"
"1.275987","103.841192","4 ROOM","Type S1","1330888"
"1.275532","103.841275","4 ROOM","Type S1","1330000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1330000"
"1.356366","103.843934","5 ROOM","DBSS","1330000"
"1.336711","103.845473","5 ROOM","DBSS","1330000"
"1.287406","103.822053","5 ROOM","Improved","1328888"
"1.336264","103.844907","5 ROOM","DBSS","1328000"
"1.295121","103.811150","5 ROOM","Premium Apartment Loft","1328000"
"1.286814","103.828928","5 ROOM","Improved","1325000"
"1.282857","103.829496","5 ROOM","Improved","1320000"
"1.277799","103.841403","4 ROOM","Type S1","1320000"
"1.275532","103.841275","4 ROOM","Type S1","1320000"
"1.277843","103.840966","5 ROOM","Type S2","1320000"
"1.356073","103.843470","5 ROOM","DBSS","1320000"
"1.287989","103.821947","5 ROOM","Improved","1320000"
"1.356366","103.843934","5 ROOM","DBSS","1315000"
"1.356735","103.843520","5 ROOM","DBSS","1311000"
"1.336264","103.844907","5 ROOM","DBSS","1310000"
"1.356735","103.843520","5 ROOM","DBSS","1310000"
"1.277799","103.841403","5 ROOM","Type S2","1308000"
"1.316051","103.861219","5 ROOM","DBSS","1308000"
"1.275532","103.841275","4 ROOM","Type S1","1305000"
"1.287989","103.821947","5 ROOM","Improved","1305000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1305000"
"1.312344","103.869898","4 ROOM","Premium Apartment","1300888"
"1.276622","103.841156","5 ROOM","Type S2","1300089"
"1.339175","103.775341","EXECUTIVE","Maisonette","1300000"
"1.275532","103.841275","4 ROOM","Type S1","1300000"
"1.295794","103.809265","5 ROOM","Premium Apartment","1300000"
"1.336278","103.844045","5 ROOM","DBSS","1300000"
"1.356366","103.843934","5 ROOM","DBSS","1300000"
"1.337773","103.775131","EXECUTIVE","Maisonette","1300000"
"1.358987","103.843324","EXECUTIVE","Maisonette","1300000"
"1.316634","103.763934","5 ROOM","Improved","1300000"
"1.286858","103.832846","5 ROOM","Improved","1295000"
"1.356366","103.843934","5 ROOM","DBSS","1295000"
"1.356366","103.843934","5 ROOM","DBSS","1295000"
"1.338774","103.775254","EXECUTIVE","Maisonette","1290800"
"1.356073","103.843470","5 ROOM","DBSS","1290000"
"1.286814","103.828928","5 ROOM","Improved","1290000"
"1.277799","103.841403","4 ROOM","Type S1","1290000"
"1.346088","103.850467","EXECUTIVE","Maisonette","1290000"
"1.277449","103.841667","5 ROOM","Type S2","1288888"
"1.316789","103.861782","5 ROOM","DBSS","1288888"
"1.334167","103.845891","5 ROOM","Improved","1288888"
"1.344859","103.848401","EXECUTIVE","Maisonette","1288000"
"1.294903","103.803699","EXECUTIVE","Maisonette","1288000"
"1.336278","103.844045","5 ROOM","DBSS","1288000"
"1.338774","103.775254","EXECUTIVE","Maisonette","1288000"
"1.358511","103.830067","EXECUTIVE","Maisonette","1288000"
"1.287989","103.821947","5 ROOM","Improved","1288000"
"1.337373","103.775043","EXECUTIVE","Maisonette","1288000"
"1.277799","103.841403","5 ROOM","Type S2","1288000"
"1.356735","103.843520","5 ROOM","DBSS","1280000"
"1.276920","103.841486","5 ROOM","Type S2","1280000"
"1.316634","103.763934","5 ROOM","Improved","1280000"
"1.328361","103.857167","3 ROOM","Terrace","1280000"
"1.294387","103.811427","5 ROOM","Improved","1280000"
"1.282857","103.829496","5 ROOM","Improved","1280000"
"1.336278","103.844045","5 ROOM","DBSS","1280000"
"1.359045","103.829899","EXECUTIVE","Maisonette","1280000"
"1.286814","103.828928","5 ROOM","Improved","1280000"
"1.337773","103.775131","EXECUTIVE","Maisonette","1280000"
"1.277843","103.840966","5 ROOM","Type S2","1280000"
"1.277799","103.841403","5 ROOM","Type S2","1280000"
"1.316789","103.861782","5 ROOM","DBSS","1280000"
"1.336278","103.844045","5 ROOM","DBSS","1280000"
"1.336264","103.845626","5 ROOM","DBSS","1280000"
"1.314639","103.764798","5 ROOM","Improved","1280000"
"1.286814","103.828928","5 ROOM","Improved","1278000"
"1.338774","103.775254","EXECUTIVE","Maisonette","1275000"
"1.320106","103.765574","5 ROOM","DBSS","1275000"
"1.295794","103.809265","5 ROOM","Premium Apartment","1270000"
"1.337540","103.773161","EXECUTIVE","Maisonette","1270000"
"1.356073","103.843470","5 ROOM","DBSS","1270000"
"1.356073","103.843470","5 ROOM","DBSS","1270000"
"1.295794","103.809265","5 ROOM","Premium Apartment","1270000"
"1.336278","103.844045","5 ROOM","DBSS","1270000"
"1.344562","103.851288","EXECUTIVE","Maisonette","1270000"
"1.276622","103.841156","4 ROOM","Type S1","1270000"
"1.277449","103.841667","5 ROOM","Type S2","1268000"
"1.371832","103.853671","5 ROOM","DBSS","1268000"
"1.327195","103.856119","3 ROOM","Terrace","1268000"
"1.316425","103.861502","5 ROOM","DBSS","1268000"
"1.356735","103.843520","5 ROOM","DBSS","1265000"
"1.336711","103.843878","5 ROOM","DBSS","1265000"
"1.316425","103.861502","5 ROOM","DBSS","1262000"
"1.277449","103.841667","5 ROOM","Type S2","1261000"
"1.356073","103.843470","5 ROOM","DBSS","1260000"
"1.277843","103.840966","5 ROOM","Type S2","1260000"
"1.336711","103.845473","5 ROOM","DBSS","1260000"
"1.294903","103.803699","EXECUTIVE","Apartment","1260000"
"1.277449","103.841667","5 ROOM","Type S2","1260000"
"1.294800","103.804609","EXECUTIVE","Apartment","1260000"
"1.283635","103.828128","5 ROOM","Model A","1260000"
"1.349346","103.852579","EXECUTIVE","Maisonette","1260000"
"1.319089","103.764441","5 ROOM","Improved","1260000"
"1.366050","103.854168","5 ROOM","Adjoined flat","1260000"
"1.294545","103.808751","5 ROOM","Improved","1260000"
"1.316634","103.763934","5 ROOM","Improved","1258000"
"1.277799","103.841403","5 ROOM","Type S2","1258000"
"1.287989","103.821947","5 ROOM","Improved","1256000"
"1.277799","103.841403","5 ROOM","Type S2","1254000"
"1.306083","103.782472","5 ROOM","Improved","1252888"
"1.320058","103.866939","5 ROOM","Improved","1250888"
"1.276622","103.841156","4 ROOM","Type S1","1250000"
"1.310316","103.791739","5 ROOM","Improved","1250000"
"1.319523","103.764025","5 ROOM","Improved","1250000"
"1.286674","103.832482","5 ROOM","Improved","1250000"
"1.336264","103.845626","5 ROOM","DBSS","1250000"
"1.286674","103.832482","5 ROOM","Improved","1250000"
"1.281120","103.829943","5 ROOM","Improved","1250000"
"1.301200","103.798922","5 ROOM","Improved","1250000"
"1.356073","103.843470","5 ROOM","DBSS","1250000"
"1.356073","103.843470","5 ROOM","DBSS","1250000"
"1.294316","103.804466","EXECUTIVE","Apartment","1250000"
"1.336264","103.844907","5 ROOM","DBSS","1250000"
"1.277843","103.840966","4 ROOM","Type S1","1250000"
"1.294992","103.811797","5 ROOM","Premium Apartment Loft","1250000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1250000"
"1.277799","103.841403","4 ROOM","Type S1","1248888"
"1.338774","103.775254","EXECUTIVE","Maisonette","1248000"
"1.277843","103.840966","5 ROOM","Type S2","1248000"
"1.290130","103.828914","5 ROOM","Improved","1245000"
"1.357397","103.849430","EXECUTIVE","Maisonette","1242000"
"1.316051","103.861219","5 ROOM","DBSS","1240888"
"1.319523","103.764025","5 ROOM","Improved","1240888"
"1.316634","103.763934","5 ROOM","Improved","1240000"
"1.319673","103.764456","5 ROOM","Improved","1240000"
"1.356366","103.843934","5 ROOM","DBSS","1240000"
"1.336264","103.845626","5 ROOM","DBSS","1240000"
"1.316051","103.861219","5 ROOM","DBSS","1238888"
"1.356366","103.843934","5 ROOM","DBSS","1238800"
"1.336711","103.845473","5 ROOM","DBSS","1238000"
"1.337773","103.775131","EXECUTIVE","Maisonette","1238000"
"1.356073","103.843470","5 ROOM","DBSS","1238000"
"1.358035","103.848209","EXECUTIVE","Maisonette","1238000"
"1.365365","103.956938","EXECUTIVE","Maisonette","1238000"
"1.294992","103.811797","5 ROOM","Premium Apartment Loft","1238000"
"1.276622","103.841156","4 ROOM","Type S1","1238000"
"1.356272","103.848250","EXECUTIVE","Maisonette","1238000"
"1.295402","103.812186","4 ROOM","Premium Apartment Loft","1238000"
"1.277799","103.841403","5 ROOM","Type S2","1235000"
"1.294903","103.803699","EXECUTIVE","Apartment","1235000"
"1.327647","103.856922","3 ROOM","Terrace","1235000"
"1.293915","103.804454","5 ROOM","Model A","1233000"
"1.277449","103.841667","4 ROOM","Type S1","1233000"
"1.277799","103.841403","5 ROOM","Type S2","1232000"
"1.276920","103.841486","4 ROOM","Type S1","1230000"
"1.316789","103.861782","5 ROOM","DBSS","1230000"
"1.312344","103.869898","5 ROOM","Premium Apartment","1230000"
"1.312344","103.869898","5 ROOM","Premium Apartment","1230000"
"1.336711","103.845473","5 ROOM","DBSS","1230000"
"1.275987","103.841192","4 ROOM","Type S1","1230000"
"1.276622","103.841156","4 ROOM","Type S1","1230000"
"1.316051","103.861219","5 ROOM","DBSS","1230000"
"1.301129","103.797123","5 ROOM","Improved","1230000"
"1.294903","103.803699","EXECUTIVE","Maisonette","1230000"
"1.336711","103.843878","5 ROOM","DBSS","1228000"
"1.294903","103.803699","EXECUTIVE","Maisonette","1228000"
"1.357397","103.849430","EXECUTIVE","Maisonette","1228000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1228000"
"1.356073","103.843470","5 ROOM","DBSS","1228000"
"1.275987","103.841192","4 ROOM","Type S1","1228000"
"1.275532","103.841275","5 ROOM","Type S2","1228000"
"1.277799","103.841403","4 ROOM","Type S1","1228000"
"1.277799","103.841403","4 ROOM","Type S1","1228000"
"1.275987","103.841192","4 ROOM","Type S1","1225000"
"1.358575","103.829748","EXECUTIVE","Maisonette","1225000"
"1.277799","103.841403","5 ROOM","Type S2","1225000"
"1.309357","103.785490","5 ROOM","Improved","1223000"
"1.316789","103.861782","5 ROOM","DBSS","1222888"
"1.338403","103.772686","5 ROOM","Improved","1222800"
"1.277799","103.841403","4 ROOM","Type S1","1220000"
"1.287017","103.830303","5 ROOM","Improved","1220000"
"1.277799","103.841403","4 ROOM","Type S1","1220000"
"1.357397","103.849430","EXECUTIVE","Maisonette","1220000"
"1.275532","103.841275","4 ROOM","Type S1","1220000"
"1.403782","103.897300","5 ROOM","Premium Apartment Loft","1220000"
"1.356073","103.843470","5 ROOM","DBSS","1220000"
"1.287989","103.821947","5 ROOM","Improved","1220000"
"1.336278","103.844045","5 ROOM","DBSS","1220000"
"1.356073","103.843470","5 ROOM","DBSS","1218888"
"1.356735","103.843520","5 ROOM","DBSS","1218000"
"1.276622","103.841156","4 ROOM","Type S1","1218000"
"1.277843","103.840966","4 ROOM","Type S1","1218000"
"1.358356","103.830398","EXECUTIVE","Maisonette","1215000"
"1.336278","103.844045","5 ROOM","DBSS","1215000"
"1.339016","103.847449","EXECUTIVE","Apartment","1212000"
"1.337540","103.773161","EXECUTIVE","Maisonette","1210000"
"1.338193","103.774523","5 ROOM","Improved","1210000"
"1.316634","103.763934","5 ROOM","Improved","1210000"
"1.319673","103.764456","5 ROOM","Improved","1210000"
"1.275987","103.841192","4 ROOM","Type S1","1210000"
"1.337373","103.775043","EXECUTIVE","Apartment","1210000"
"1.356366","103.843934","5 ROOM","DBSS","1210000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1210000"
"1.310316","103.791739","5 ROOM","Improved","1210000"
"1.275532","103.841275","5 ROOM","Type S2","1210000"
"1.316425","103.861502","5 ROOM","DBSS","1208888"
"1.316789","103.861782","5 ROOM","DBSS","1208000"
"1.316634","103.763934","5 ROOM","Improved","1208000"
"1.337373","103.775043","EXECUTIVE","Maisonette","1208000"
"1.351205","103.867770","EXECUTIVE","Apartment","1208000"
"1.277843","103.840966","5 ROOM","Type S2","1208000"
"1.356735","103.843520","5 ROOM","DBSS","1208000"
"1.356073","103.843470","5 ROOM","DBSS","1208000"
"1.286814","103.828928","5 ROOM","Improved","1205500"
"1.275987","103.841192","4 ROOM","Type S1","1205000"
"1.316425","103.861502","5 ROOM","DBSS","1205000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1202000"
"1.295402","103.812186","5 ROOM","Premium Apartment","1200888"
"1.316051","103.861219","5 ROOM","DBSS","1200888"
"1.316051","103.861219","5 ROOM","DBSS","1200000"
"1.276920","103.841486","5 ROOM","Type S2","1200000"
"1.286827","103.828660","5 ROOM","Improved","1200000"
"1.276920","103.841486","4 ROOM","Type S1","1200000"
"1.316789","103.861782","5 ROOM","DBSS","1200000"
"1.336711","103.845473","5 ROOM","DBSS","1200000"
"1.316789","103.861782","5 ROOM","DBSS","1200000"
"1.356735","103.843520","5 ROOM","DBSS","1200000"
"1.337373","103.775043","EXECUTIVE","Maisonette","1200000"
"1.276920","103.841486","5 ROOM","Type S2","1200000"
"1.275532","103.841275","4 ROOM","Type S1","1200000"
"1.275532","103.841275","5 ROOM","Type S2","1200000"
"1.295794","103.809265","5 ROOM","Premium Apartment","1200000"
"1.301129","103.797123","5 ROOM","Improved","1200000"
"1.308209","103.796639","5 ROOM","Improved","1200000"
"1.336711","103.845473","5 ROOM","DBSS","1200000"
"1.356735","103.843520","5 ROOM","DBSS","1200000"
"1.276622","103.841156","4 ROOM","Type S1","1200000"
"1.306953","103.861244","5 ROOM","Improved","1200000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1200000"
"1.294800","103.804609","EXECUTIVE","Apartment","1200000"
"1.333571","103.845724","5 ROOM","Improved","1200000"
"1.275532","103.841275","4 ROOM","Type S1","1200000"
"1.306792","103.794899","5 ROOM","Model A","1200000"
"1.275987","103.841192","4 ROOM","Type S1","1200000"
"1.320106","103.765574","5 ROOM","DBSS","1200000"
"1.286827","103.828660","5 ROOM","Improved","1200000"
"1.277449","103.841667","5 ROOM","Type S2","1200000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1200000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1200000"
"1.364946","103.854043","EXECUTIVE","Adjoined flat","1200000"
"1.285570","103.826276","5 ROOM","Improved","1200000"
"1.337540","103.773161","EXECUTIVE","Maisonette","1200000"
"1.275987","103.841192","4 ROOM","Type S1","1200000"
"1.333288","103.846166","5 ROOM","Improved","1200000"
"1.336711","103.843878","5 ROOM","DBSS","1200000"
"1.327746","103.855881","3 ROOM","Terrace","1200000"
"1.371832","103.853671","5 ROOM","DBSS","1200000"
"1.357291","103.845846","EXECUTIVE","Maisonette","1200000"
"1.349357","103.838327","EXECUTIVE","Maisonette","1200000"
"1.316425","103.861502","5 ROOM","DBSS","1200000"
"1.294236","103.812035","4 ROOM","Model A","1200000"
"1.294317","103.804932","EXECUTIVE","Maisonette","1200000"
"1.418998","103.840568","MULTI-GENERATION","Multi Generation","1200000"
"1.319447","103.765649","5 ROOM","DBSS","1200000"
"1.301129","103.797123","5 ROOM","Improved","1200000"
"1.323323","103.866399","EXECUTIVE","Apartment","1200000"
"1.351205","103.867770","EXECUTIVE","Maisonette","1200000"
"1.335838","103.845731","5 ROOM","Improved","1200000"
"1.312344","103.869898","5 ROOM","Premium Apartment","1200000"
"1.338307","103.842843","4 ROOM","Model A","1200000"
"1.339175","103.775341","EXECUTIVE","Maisonette","1198000"
"1.403474","103.897938","5 ROOM","Premium Apartment Loft","1198000"
"1.312344","103.869898","5 ROOM","Premium Apartment","1195000"
"1.371976","103.853151","5 ROOM","DBSS","1190000"
"1.320106","103.765574","5 ROOM","DBSS","1190000"
"1.347319","103.854162","EXECUTIVE","Maisonette","1190000"
"1.277449","103.841667","4 ROOM","Type S1","1190000"
"1.277449","103.841667","4 ROOM","Type S1","1190000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1190000"
"1.319089","103.764441","5 ROOM","Improved","1189000"
"1.295340","103.812585","4 ROOM","Premium Apartment Loft","1188888"
"1.345411","103.852080","EXECUTIVE","Apartment","1188888"
"1.349551","103.851544","EXECUTIVE","Maisonette","1188000"
"1.286814","103.828928","4 ROOM","Model A","1188000"
"1.312379","103.786972","5 ROOM","Adjoined flat","1188000"
"1.276622","103.841156","5 ROOM","Type S2","1188000"
"1.316634","103.763934","5 ROOM","Improved","1188000"
"1.275987","103.841192","5 ROOM","Type S2","1188000"
"1.277449","103.841667","5 ROOM","Type S2","1188000"
"1.277799","103.841403","4 ROOM","Type S1","1186888"
"1.316051","103.861219","5 ROOM","DBSS","1185000"
"1.277843","103.840966","5 ROOM","Type S2","1185000"
"1.327014","103.856571","3 ROOM","Terrace","1185000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1181000"
"1.322354","103.936183","EXECUTIVE","Apartment","1180888"
"1.365698","103.858942","EXECUTIVE","Adjoined flat","1180000"
"1.339741","103.847264","EXECUTIVE","Apartment","1180000"
"1.338746","103.772439","5 ROOM","Improved","1180000"
"1.287989","103.821947","5 ROOM","Improved","1180000"
"1.338305","103.773542","5 ROOM","Improved","1180000"
"1.334661","103.848578","5 ROOM","Improved","1180000"
"1.323915","103.770630","5 ROOM","Model A-Maisonette","1180000"
"1.351205","103.867770","EXECUTIVE","Maisonette","1180000"
"1.283392","103.828894","5 ROOM","Improved","1180000"
"1.319673","103.764456","5 ROOM","Improved","1180000"
"1.321837","103.861839","4 ROOM","Model A","1180000"
"1.364647","103.844250","5 ROOM","Improved","1180000"
"1.281120","103.829943","5 ROOM","Improved","1180000"
"1.339769","103.772556","5 ROOM","Improved","1180000"
"1.351205","103.867770","EXECUTIVE","Maisonette","1180000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1180000"
"1.358442","103.848264","EXECUTIVE","Apartment","1180000"
"1.316634","103.763934","5 ROOM","Improved","1180000"
"1.319673","103.764456","5 ROOM","Improved","1180000"
"1.316051","103.861219","5 ROOM","DBSS","1180000"
"1.310316","103.791739","5 ROOM","Improved","1180000"
"1.310316","103.791739","5 ROOM","Improved","1180000"
"1.294903","103.803699","EXECUTIVE","Maisonette","1180000"
"1.336264","103.844907","5 ROOM","DBSS","1180000"
"1.336278","103.844045","5 ROOM","DBSS","1180000"
"1.336278","103.844045","5 ROOM","DBSS","1180000"
"1.294316","103.804466","EXECUTIVE","Apartment","1180000"
"1.356073","103.843470","5 ROOM","DBSS","1180000"
"1.356735","103.843520","5 ROOM","DBSS","1180000"
"1.336711","103.843878","5 ROOM","DBSS","1180000"
"1.283392","103.828894","5 ROOM","Improved","1178888"
"1.320106","103.765574","5 ROOM","DBSS","1175000"
"1.277799","103.841403","5 ROOM","Type S2","1175000"
"1.368330","103.858496","5 ROOM","Improved","1175000"
"1.319447","103.765649","5 ROOM","DBSS","1170000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1170000"
"1.319523","103.764025","5 ROOM","Improved","1170000"
"1.336711","103.843878","5 ROOM","DBSS","1170000"
"1.358987","103.843324","EXECUTIVE","Maisonette","1170000"
"1.309771","103.784714","4 ROOM","Model A","1170000"
"1.284887","103.822782","5 ROOM","Improved","1170000"
"1.277843","103.840966","5 ROOM","Type S2","1170000"
"1.275532","103.841275","5 ROOM","Type S2","1170000"
"1.310316","103.791739","5 ROOM","Improved","1170000"
"1.277843","103.840966","5 ROOM","Type S2","1170000"
"1.302059","103.796582","5 ROOM","Improved","1170000"
"1.312344","103.869898","5 ROOM","Premium Apartment","1170000"
"1.316789","103.861782","5 ROOM","DBSS","1170000"
"1.319673","103.764456","5 ROOM","Improved","1168000"
"1.275532","103.841275","4 ROOM","Type S1","1168000"
"1.286827","103.828660","5 ROOM","Improved","1168000"
"1.316051","103.861219","5 ROOM","DBSS","1168000"
"1.276920","103.841486","5 ROOM","Type S2","1168000"
"1.358987","103.843324","EXECUTIVE","Maisonette","1165000"
"1.358987","103.843324","EXECUTIVE","Maisonette","1165000"
"1.275532","103.841275","5 ROOM","Type S2","1165000"
"1.281120","103.829943","5 ROOM","Improved","1165000"
"1.336278","103.844045","5 ROOM","DBSS","1160888"
"1.294316","103.804466","EXECUTIVE","Apartment","1160000"
"1.336278","103.844045","5 ROOM","DBSS","1160000"
"1.356735","103.843520","5 ROOM","DBSS","1160000"
"1.337773","103.775131","EXECUTIVE","Maisonette","1160000"
"1.336278","103.844045","5 ROOM","DBSS","1160000"
"1.275987","103.841192","5 ROOM","Type S2","1160000"
"1.336278","103.844045","5 ROOM","DBSS","1160000"
"1.275532","103.841275","5 ROOM","Type S2","1160000"
"1.275987","103.841192","5 ROOM","Type S2","1160000"
"1.316634","103.763934","5 ROOM","Improved","1160000"
"1.295402","103.812186","4 ROOM","Premium Apartment Loft","1160000"
"1.336264","103.845626","5 ROOM","DBSS","1160000"
"1.336711","103.843878","5 ROOM","DBSS","1160000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1160000"
"1.284425","103.823909","5 ROOM","Improved","1160000"
"1.283392","103.828894","5 ROOM","Improved","1160000"
"1.319117","103.765492","5 ROOM","DBSS","1160000"
"1.368174","103.857521","5 ROOM","Improved","1160000"
"1.334762","103.865543","EXECUTIVE","Maisonette","1160000"
"1.368864","103.833954","5 ROOM","Improved","1160000"
"1.288381","103.817391","5 ROOM","Improved","1160000"
"1.286358","103.829626","4 ROOM","Model A","1158888"
"1.277449","103.841667","4 ROOM","Type S1","1158000"
"1.322388","103.862439","4 ROOM","Model A","1158000"
"1.319089","103.764441","4 ROOM","Model A","1158000"
"1.310316","103.791739","5 ROOM","Improved","1158000"
"1.286337","103.829205","4 ROOM","Model A","1158000"
"1.286827","103.828660","5 ROOM","Improved","1155000"
"1.276622","103.841156","4 ROOM","Type S1","1155000"
"1.368330","103.858496","5 ROOM","Improved","1155000"
"1.277449","103.841667","4 ROOM","Type S1","1155000"
"1.287406","103.822053","4 ROOM","Model A","1155000"
"1.277449","103.841667","5 ROOM","Type S2","1155000"
"1.286827","103.828660","5 ROOM","Improved","1153000"
"1.275532","103.841275","5 ROOM","Type S2","1151000"
"1.275987","103.841192","5 ROOM","Type S2","1150000"
"1.277799","103.841403","5 ROOM","Type S2","1150000"
"1.336711","103.843878","5 ROOM","DBSS","1150000"
"1.277799","103.841403","4 ROOM","Type S1","1150000"
"1.369289","103.834132","5 ROOM","Improved","1150000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1150000"
"1.360337","103.843963","EXECUTIVE","Maisonette","1150000"
"1.275302","103.839207","5 ROOM","Improved","1150000"
"1.290130","103.828914","5 ROOM","Improved","1150000"
"1.276622","103.841156","4 ROOM","Type S1","1150000"
"1.277449","103.841667","5 ROOM","Type S2","1150000"
"1.275987","103.841192","4 ROOM","Type S1","1150000"
"1.316634","103.763934","5 ROOM","Improved","1150000"
"1.320106","103.765574","5 ROOM","DBSS","1150000"
"1.316789","103.861782","5 ROOM","DBSS","1150000"
"1.295649","103.810231","5 ROOM","Premium Apartment","1150000"
"1.354254","103.868543","EXECUTIVE","Apartment","1150000"
"1.336264","103.844907","5 ROOM","DBSS","1150000"
"1.349551","103.851544","EXECUTIVE","Maisonette","1150000"
"1.316789","103.861782","5 ROOM","DBSS","1150000"
"1.306083","103.782472","5 ROOM","Improved","1150000"
"1.316789","103.861782","5 ROOM","DBSS","1150000"
"1.294316","103.804466","EXECUTIVE","Apartment","1150000"
"1.286827","103.828660","5 ROOM","Improved","1150000"
"1.336711","103.845473","5 ROOM","DBSS","1150000"
"1.336711","103.843878","5 ROOM","DBSS","1150000"
"1.294316","103.804466","EXECUTIVE","Apartment","1150000"
"1.301129","103.797123","5 ROOM","Improved","1150000"
"1.442027","103.789906","EXECUTIVE","Apartment","1150000"
"1.347350","103.850535","EXECUTIVE","Maisonette","1150000"
"1.337373","103.775043","EXECUTIVE","Apartment","1150000"
"1.404315","103.898852","5 ROOM","Premium Apartment Loft","1150000"
"1.320058","103.866939","5 ROOM","Improved","1150000"
"1.295649","103.810231","4 ROOM","Premium Apartment","1150000"
"1.311059","103.791887","4 ROOM","Model A","1150000"
"1.273682","103.806579","4 ROOM","Premium Apartment","1150000"
"1.315842","103.860645","4 ROOM","Model A","1150000"
